Date,BHP Open,BHP High,BHP Low,BHP Close,BHP Adj Close,BHP Volume
2018-09-03,33.439999,33.439999,32.950001,33.009998,25.443668,4024466
2018-09-04,33.020000,33.139999,32.950001,33.080002,25.497625,5328761
2018-09-05,33.000000,33.000000,32.099998,32.200001,24.819332,8288374
2018-09-06,31.650000,31.680000,31.320000,31.400000,24.863657,10434639
2018-09-07,31.200001,31.309999,30.980000,31.299999,24.784472,5659035
2018-09-10,31.180000,31.379999,30.959999,31.200001,24.705290,3353064
2018-09-11,30.870001,31.200001,30.700001,31.200001,24.705290,4438179
2018-09-12,31.059999,31.100000,30.750000,31.100000,24.626106,5510402
2018-09-13,31.200001,31.750000,31.105000,31.309999,24.792391,6140427
2018-09-14,31.400000,31.860001,31.389999,31.820000,25.196230,7633977
2018-09-17,31.549999,31.730000,31.469999,31.610001,25.029943,5603741
2018-09-18,31.219999,31.480000,31.200001,31.480000,24.927004,6622664
2018-09-19,32.000000,32.450001,32.000000,32.400002,25.655493,7523703
2018-09-20,32.849998,32.939999,32.660000,32.770000,25.948473,9952932
2018-09-21,33.200001,33.580002,33.150002,33.580002,26.589861,13916029
2018-09-24,33.810001,33.990002,33.650002,33.830002,26.787821,6223643
2018-09-25,33.410000,34.230000,33.410000,34.099998,27.001616,11324010
2018-09-26,34.369999,34.619999,34.349998,34.500000,27.318352,8415094
2018-09-27,34.150002,34.650002,34.099998,34.480000,27.302511,8361351
2018-09-28,34.529999,35.000000,34.529999,34.630001,27.421288,14847192
2018-10-01,34.349998,34.700001,34.320000,34.610001,27.405451,3145466
2018-10-02,34.950001,35.160000,34.619999,34.700001,27.476717,9201531
2018-10-03,35.099998,35.160000,34.930000,35.080002,27.777618,6282019
2018-10-04,35.389999,35.549999,35.200001,35.410000,28.038918,6816665
2018-10-05,35.400002,35.680000,35.209999,35.500000,28.110188,6361403
2018-10-08,34.840000,35.000000,34.500000,34.500000,27.318352,6451474
2018-10-09,34.520000,34.799999,34.305000,34.630001,27.421288,5738032
2018-10-10,34.939999,34.990002,34.590000,34.720001,27.492552,5389081
2018-10-11,33.520000,33.980000,33.400002,33.400002,26.447330,10541579
2018-10-12,33.619999,33.950001,33.595001,33.840000,26.795740,8453009
2018-10-15,33.540001,33.709999,33.020000,33.340000,26.399818,5553529
2018-10-16,33.750000,34.130001,33.700001,33.900002,26.843248,7614374
2018-10-17,34.119999,34.169998,33.430000,33.660000,26.653206,5356637
