Date,VEA Open,VEA High,VEA Low,VEA Close,VEA Adj Close,VEA Volume
2018-09-03,2.785714,2.797619,2.726190,2.773809,2.520724,3057260
2018-09-04,2.761904,2.761904,2.672619,2.702380,2.455812,7901276
2018-09-05,2.678571,2.732142,2.678571,2.714285,2.466631,2529128
2018-09-06,2.690476,2.702380,2.654761,2.690476,2.444994,1418515
2018-09-07,2.654761,2.654761,2.571428,2.619047,2.380083,9317251
2018-09-10,2.571428,2.607142,2.559523,2.583333,2.347627,2269063
2018-09-11,2.714285,2.833333,2.702380,2.773809,2.520724,6978673
2018-09-12,2.785714,2.851190,2.750000,2.833333,2.574817,14512088
2018-09-13,2.833333,2.892857,2.773809,2.821428,2.563998,62546684
2018-09-14,2.833333,2.857142,2.809523,2.845238,2.585636,2919683
2018-09-17,2.833333,2.892857,2.833333,2.869047,2.607272,3000846
2018-09-18,2.857142,2.875000,2.845238,2.857142,2.596453,3569378
2018-09-19,2.845238,2.851190,2.785714,2.821428,2.563998,4268805
2018-09-20,2.821428,2.845238,2.803571,2.833333,2.574817,3874652
2018-09-21,2.869047,2.880952,2.785714,2.809523,2.553180,5917537
2018-09-24,2.797619,2.809523,2.761904,2.785714,2.531543,2032151
2018-09-25,2.821428,2.827380,2.726190,2.785714,2.531543,1762179
2018-09-26,2.761904,2.809523,2.696428,2.726190,2.477450,2152415
2018-09-27,2.738095,2.738095,2.678571,2.702380,2.455812,2439167
2018-09-28,2.726190,2.726190,2.684523,2.714285,2.466631,3647807
2018-10-01,2.714285,2.750000,2.678571,2.714285,2.466631,844483
2018-10-02,2.714285,2.738095,2.630952,2.666666,2.423357,1498929
2018-10-03,2.678571,2.702380,2.642857,2.666666,2.423357,957189
2018-10-04,2.678571,2.732142,2.678571,2.690476,2.444994,1624240
2018-10-05,2.714285,2.726190,2.690476,2.726190,2.477450,1400729
2018-10-08,2.726190,2.726190,2.642857,2.678571,2.434175,3300909
2018-10-09,2.630952,2.666666,2.595238,2.619047,2.380083,2285781
2018-10-10,2.607142,2.678571,2.595238,2.642857,2.401721,3902487
2018-10-11,2.654761,2.654761,2.523809,2.547619,2.315172,3106068
2018-10-12,2.535714,2.583333,2.523809,2.583333,2.347627,2374417
2018-10-15,2.535714,2.583333,2.517857,2.547619,2.315172,2956821
2018-10-16,2.511904,2.523809,2.482142,2.523809,2.293534,4094269
2018-10-17,2.523809,2.642857,2.494047,2.630952,2.390902,4405974
2018-10-18,2.595238,2.619047,2.547619,2.619047,2.380083,2191992
2018-10-19,2.583333,2.583333,2.523809,2.559523,2.325990,3646310
2018-10-22,2.523809,2.547619,2.488095,2.488095,2.261079,1896798
2018-10-23,2.464285,2.488095,2.392857,2.440476,2.217804,3814986
2018-10-24,2.416666,2.511904,2.404761,2.500000,2.271898,2902357
2018-10-25,2.452380,2.523809,2.440476,2.488095,2.261079,3724321
2018-10-26,2.523809,2.571428,2.511904,2.559523,2.325990,3653193
2018-10-29,2.607142,2.619047,2.523809,2.619047,2.380083,3684098
2018-10-30,2.559523,2.571428,2.523809,2.547619,2.315172,2933909
2018-10-31,2.523809,2.559523,2.511904,2.523809,2.293534,3458256
2018-11-01,2.488095,2.571428,2.488095,2.511904,2.282716,4127656
2018-11-02,2.452380,2.500000,2.428571,2.464285,2.239441,2278948
2018-11-05,2.428571,2.500000,2.410714,2.452380,2.228623,1563636
2018-11-06,2.452380,2.488095,2.440476,2.488095,2.261079,813476
2018-11-07,2.488095,2.500000,2.428571,2.464285,2.239441,1891068
2018-11-08,2.500000,2.500000,2.440476,2.464285,2.239441,1585608
2018-11-09,2.452380,2.547619,2.452380,2.535714,2.304353,2208151
2018-11-12,2.464285,2.571428,2.464285,2.547619,2.315172,1552379
2018-11-13,2.523809,2.595238,2.511904,2.523809,2.293534,1773692
2018-11-14,2.500000,2.583333,2.440476,2.500000,2.271898,4784937
2018-11-15,2.523809,2.523809,2.452380,2.488095,2.261079,3544604
2018-11-16,2.452380,2.500000,2.440476,2.440476,2.217804,1882079
2018-11-19,2.077380,2.226190,1.976190,2.142857,1.947341,12078574
2018-11-20,2.095238,2.190476,2.059523,2.178571,1.979796,7707095
2018-11-21,2.148809,2.222619,2.136904,2.178571,1.979796,3398497
2018-11-22,2.154761,2.202380,2.119047,2.196428,1.996024,5381855
2018-11-23,2.196428,2.267857,2.160714,2.255952,2.050117,2983908
2018-11-26,2.220238,2.375000,2.202380,2.363095,2.147484,4861203
2018-11-27,2.380952,2.428571,2.273809,2.315476,2.104210,4846017
2018-11-28,2.363095,2.369047,2.291666,2.291666,2.082572,3625588
2018-11-29,2.273809,2.345238,2.273809,2.321428,2.109619,3390037
2018-11-30,2.363095,2.380952,2.303571,2.351190,2.136665,26281599
2018-12-03,2.369047,2.383333,2.323809,2.380952,2.163712,1899513
2018-12-04,2.363095,2.380952,2.335714,2.363095,2.147484,2336991
2018-12-05,2.309523,2.380952,2.309523,2.369047,2.152893,2846839
2018-12-06,2.351190,2.383333,2.345238,2.380952,2.163712,2622076
2018-12-07,2.363095,2.380952,2.339285,2.369047,2.152893,2059820
2018-12-10,2.309523,2.309523,2.250000,2.261904,2.055526,2374525
2018-12-11,2.261904,2.285714,2.238095,2.261904,2.055526,1980355
2018-12-12,2.250000,2.303571,2.244047,2.285714,2.077163,2115636
2018-12-13,2.297619,2.303571,2.255952,2.291666,2.082572,2667620
2018-12-14,2.261904,2.339285,2.261904,2.309523,2.098800,2614469
2018-12-17,2.279761,2.369047,2.279761,2.345238,2.131256,2458095
2018-12-18,2.297619,2.306547,2.208333,2.255952,2.050117,7115578
2018-12-19,2.214285,2.261904,2.190476,2.244047,2.039298,2270014
2018-12-20,2.202380,2.226190,2.166666,2.196428,1.996024,3065139
2018-12-21,2.083333,2.130952,2.023809,2.047619,1.860792,27546720
2018-12-24,2.047619,2.077380,2.029761,2.071428,1.882429,1091679
2018-12-27,2.113095,2.166666,2.107142,2.142857,1.947341,2546608
2018-12-28,2.202380,2.255952,2.154761,2.184523,1.985205,2628495
2018-12-31,2.220238,2.226190,2.142857,2.142857,1.947341,1888615
2019-01-02,2.107142,2.172619,2.077380,2.077380,1.887838,1175818
2019-01-03,2.089285,2.214285,2.085714,2.202380,2.001433,1117943
2019-01-04,2.154761,2.178571,2.125000,2.142857,1.947341,7694641
2019-01-07,2.154761,2.261904,2.154761,2.220238,2.017661,3011243
