Date,WOW Open,WOW High,WOW Low,WOW Close,WOW Adj Close,WOW Volume
2018-09-03,28.389999,28.709999,28.309999,28.500000,26.157660,2202326
2018-09-04,28.350000,28.510000,28.320000,28.480000,26.139301,1690154
2018-09-05,28.480000,28.480000,28.129999,28.379999,26.047520,2213451
2018-09-06,28.180000,28.350000,28.049999,28.240000,25.919027,2803411
2018-09-07,28.000000,28.290001,27.930000,28.290001,25.964920,2863889
2018-09-10,28.120001,28.370001,28.110001,28.240000,25.919027,1495603
2018-09-11,28.400000,28.620001,28.219999,28.540001,26.194374,1820448
2018-09-12,28.480000,28.540001,28.260000,28.420000,26.084234,2058219
2018-09-13,27.709999,27.799999,27.450001,27.500000,25.328972,2383186
2018-09-14,27.530001,27.670000,27.344999,27.410000,25.246075,1640718
2018-09-17,27.340000,27.500000,27.170000,27.450001,25.282919,4362951
2018-09-18,27.350000,27.700001,27.340000,27.600000,25.421074,3670208
2018-09-19,27.580000,27.775000,27.410000,27.700001,25.513180,2623030
2018-09-20,27.549999,27.670000,27.180000,27.299999,25.144760,4373082
2018-09-21,27.340000,27.629999,27.299999,27.549999,25.375021,4810991
2018-09-24,27.520000,27.740000,27.450001,27.650000,25.467127,1431723
2018-09-25,27.520000,27.730000,27.500000,27.730000,25.540810,2081239
2018-09-26,27.980000,28.139999,27.840000,28.080000,25.863182,6053375
2018-09-27,28.200001,28.330000,27.969999,28.040001,25.826340,2902629
2018-09-28,28.150000,28.350000,28.010000,28.080000,25.863182,3770231
2018-10-01,27.850000,28.000000,27.760000,27.900000,25.697392,1346630
2018-10-02,27.900000,28.190001,27.900000,28.040001,25.826340,2704457
2018-10-03,28.000000,28.139999,27.770000,27.969999,25.761864,1388589
2018-10-04,27.980000,28.100000,27.830000,27.900000,25.697392,1895371
2018-10-05,28.059999,28.420000,27.969999,28.350000,26.111868,2166658
2018-10-08,28.299999,28.420000,28.110001,28.299999,26.065813,1389210
2018-10-09,28.250000,28.299999,28.000000,28.240000,26.010550,4685638
2018-10-10,28.110001,28.240000,27.879999,28.120001,25.900023,2573461
2018-10-11,27.730000,27.920000,27.610001,27.820000,25.623709,3518664
2018-10-12,27.639999,27.840000,27.540001,27.629999,25.448706,3600004
2018-10-15,27.480000,27.530001,27.190001,27.459999,25.292128,2059479
2018-10-16,27.389999,27.670000,27.260000,27.490000,25.319759,2219633
2018-10-17,27.410000,27.840000,27.389999,27.799999,25.605284,2108557
2018-10-18,27.860001,28.090000,27.740000,28.030001,25.817129,2647426
2018-10-19,28.000000,28.340000,27.900000,28.100000,25.881601,2271716
2018-10-22,27.980000,28.100000,27.879999,28.040001,25.826340,1280338
2018-10-23,28.100000,28.209999,27.844999,27.900000,25.697392,2485198
2018-10-24,27.910000,28.070000,27.690001,27.809999,25.614496,3160416
2018-10-25,27.750000,27.900000,27.549999,27.549999,25.375021,3914420
2018-10-26,27.430000,27.530001,27.030001,27.309999,25.153967,3964109
2018-10-29,27.400000,28.139999,27.350000,27.980000,25.771076,2812080
2018-10-30,27.900000,28.400000,27.889999,28.309999,26.075020,2687979
2018-10-31,28.209999,28.440001,28.115000,28.430000,26.185551,3969644
2018-11-01,28.620001,29.049999,28.500000,28.700001,26.434235,5190182
2018-11-02,28.500000,28.639999,28.150000,28.600000,26.342129,3668331
2018-11-05,28.530001,29.100000,28.530001,28.809999,26.535547,2639387
2018-11-06,28.840000,29.080000,28.750000,29.000000,26.710548,2280665
2018-11-07,29.020000,29.139999,28.730000,29.049999,26.756601,2129402
2018-11-08,29.090000,29.480000,29.049999,29.350000,27.032921,2098839
2018-11-09,29.120001,29.580000,29.110001,29.420000,27.097393,1345703
2018-11-12,29.440001,29.879999,29.070000,29.830000,27.475023,2807811
2018-11-13,29.709999,29.850000,29.540001,29.600000,27.263182,2767401
